studentId,class
1,7U
2,10G
3,2Q
4,7W
5,9J
6,10G
7,9L
8,10A
9,11S
10,5P
11,8H
12,5R
13,11O
14,2B
15,9V
16,9A
17,8R
18,5H
19,12O
20,5A
21,12T
22,9O
23,11A
24,9V
25,9C
26,6B
27,5U
28,5K
29,3K
30,5E
31,1Y
32,11O
33,10X
34,5A
35,2J
36,6N
37,11D
38,4H
39,9X
40,7H
41,7E
42,8W
43,8X
44,8I
45,10Z
46,10K
47,9E
48,9I
49,2Y
50,11D
51,10K
52,9V
53,11N
54,11A
55,10S
56,3H
57,1I
58,2V
59,12T
60,7A
61,5O
62,5K
63,1O
64,5L
65,11H
66,9Y
67,9R
68,1N
69,12Z
70,7B
71,9K
72,7Q
73,3B
74,6Q
75,1B
76,1F
77,9A
78,5U
79,10D
80,2K
81,10C
82,1W
83,8V
84,5N
85,7S
86,11W
87,4T
88,12I
89,6A
90,10M
91,3U
92,9Y
93,11T
94,8W
95,12E
96,12Z
97,2O
98,12W
99,12V
100,3T
101,7O
102,4M
103,2F
104,4G
105,8H
106,4Z
107,3I
108,11V
109,6L
110,12Q
111,3B
112,5Y
113,10H
114,7U
115,12B
116,5E
117,3N
118,8T
119,7T
120,2N
121,6R
122,6D
123,3P
124,8B
125,5R
126,7Z
127,5B
128,11F
129,5A
130,4Q
131,11N
132,12Y
133,3W
134,3T
135,12U
136,10V
137,4Q
138,4F
139,11M
140,12D
141,12R
142,1G
143,4M
144,5C
145,5A
146,8D
147,6P
148,3V
149,3S
150,5A
151,5S
152,1J
153,3S
154,11G
155,12Y
156,11Q
157,12Y
158,9G
159,8G
160,3B
161,8M
162,7G
163,2R
164,4N
165,2K
166,4A
167,11K
168,5G
169,8Q
170,7L
171,10U
172,9M
173,5O
174,11C
175,1D
176,11V
177,1L
178,5E
179,9I
180,2Y
181,2Q
182,11N
183,5E
184,6S
185,11N
186,5O
187,7Q
188,11O
189,4M
190,1D
191,7H
192,5V
193,7Y
194,6F
195,6Y
196,11C
197,3A
198,6A
199,8B
200,8W
201,11O
202,8Z
203,7O
204,2E
205,9I
206,12E
207,1G
208,3Y
209,9L
210,8Q
211,2U
212,6P
213,3E
214,6R
215,2R
216,11J
217,2O
218,6A
219,9C
220,3U
221,10B
222,1Y
223,8B
224,11Z
225,11L
226,8L
227,8E
228,8D
229,10F
230,1J
231,8O
232,11C
233,4K
234,6M
235,7B
236,3P
237,3X
238,7Z
239,7M
240,1N
241,2F
242,8D
243,6A
244,3T
245,11T
246,5X
247,3R
248,4I
249,4D
250,2I
251,2M
252,4F
253,1G
254,3T
255,11C
256,11D
257,9G
258,12V
259,11U
260,4Q
261,5S
262,3O
263,9F
264,10A
265,9M
266,10N
267,2X
268,9S
269,4O
270,6N
271,3Q
272,9K
273,11S
274,5D
275,4J
