symbol,value
”,0
…,1
”,2
‡,3
œ,4
Š,5
‚,6
–,7
•,8
š,9
Œ,10
’,11
…,12
’,13
‡,14
ƒ,15
’,16
‡,17
œ,18
ƒ,19
•,20
†,21
ˆ,22
‡,23
€,24
ž,25
Œ,26
“,27
˜,28
‰,29
˜,30
†,31
…,32
‰,33
”,34
’,35
‘,36
‚,37
Œ,38
…,39
‹,40
‘,41
›,42
…,43
‰,44
‘,45
‡,46
’,47
’,48
…,49
€,50
…,51
€,52
š,53
ƒ,54
„,55
š,56
‰,57
Œ,58
™,59
›,60
“,61
—,62
‰,63
Ÿ,64
“,65
˜,66
—,67
Œ,68
–,69
ž,70
„,71
œ,72
™,73
œ,74
ˆ,75
’,76
ƒ,77
‚,78
ˆ,79
Ÿ,80
Œ,81
Œ,82
—,83
‡,84
ƒ,85
š,86
Œ,87
–,88
†,89
™,90
ƒ,91
”,92
€,93
“,94
†,95
…,96
Š,97
š,98
Œ,99
€,100
•,101
Š,102
œ,103
˜,104
ˆ,105
˜,106
Ÿ,107
š,108
š,109
‡,110
—,111
„,112
—,113
™,114
”,115
”,116
‰,117
™,118
‡,119
‰,120
ž,121
„,122
‚,123
›,124
Œ,125
›,126
”,127
„,128
„,129
„,130
ž,131
š,132
˜,133
ž,134
˜,135
ˆ,136
Š,137
‚,138
†,139
Ÿ,140
Ÿ,141
˜,142
‘,143
„,144
˜,145
š,146
Ž,147
ƒ,148
”,149
…,150
€,151
Ÿ,152
‰,153
˜,154
…,155
–,156
Ž,157
ƒ,158
‰,159
‰,160
œ,161
–,162
ž,163
ž,164
œ,165
Š,166
“,167
’,168
ž,169
„,170
œ,171
Ž,172
€,173
€,174
„,175
™,176
‡,177
š,178
–,179
”,180
‚,181
™,182
Ž,183
’,184
š,185
“,186
‡,187
•,188
”,189
‚,190
›,191
Ÿ,192
‡,193
…,194
Š,195
Š,196
‹,197
‚,198
‡,199
‹,200
–,201
Œ,202
š,203
Ÿ,204
‘,205
š,206
™,207
‡,208
•,209
—,210
•,211
’,212
‰,213
–,214
ž,215
–,216
”,217
š,218
”,219
ˆ,220
›,221
“,222
œ,223
™,224
›,225
š,226
…,227
“,228
‰,229
Š,230
–,231
™,232
‘,233
Ž,234
–,235
‘,236
Ž,237
Œ,238
Š,239
‹,240
Ž,241
›,242
‹,243
š,244
›,245
š,246
Ž,247
‰,248
”,249
–,250
—,251
›,252
‚,253
‘,254
’,255
ƒ,256
ˆ,257
š,258
Œ,259
ž,260
˜,261
•,262
“,263
œ,264
Š,265
ˆ,266
š,267
–,268
”,269
—,270
ˆ,271
Ÿ,272
‹,273
ƒ,274
Œ,275
š,276
‡,277
“,278
”,279
ˆ,280
–,281
“,282
š,283
‘,284
˜,285
‘,286
™,287
™,288
•,289
†,290
“,291
ˆ,292
’,293
Ž,294
•,295
‚,296
‹,297
ƒ,298
Œ,299
ƒ,300
‹,301
Š,302
‹,303
Œ,304
˜,305
“,306
ž,307
–,308
‰,309
˜,310
•,311
‰,312
„,313
›,314
Ž,315
ƒ,316
’,317
š,318
ž,319
ƒ,320
‰,321
‰,322
ƒ,323
‘,324
ž,325
›,326
—,327
•,328
ž,329
„,330
‡,331
•,332
Œ,333
š,334
Œ,335
›,336
€,337
š,338
…,339
‡,340
ƒ,341
œ,342
Ž,343
”,344
Ž,345
•,346
Š,347
„,348
‰,349
ˆ,350
…,351
ƒ,352
›,353
‚,354
’,355
š,356
˜,357
™,358
ž,359
˜,360
—,361
‘,362
—,363
Ÿ,364
ˆ,365
€,366
ˆ,367
‹,368
…,369
™,370
†,371
‡,372
‚,373
…,374
”,375
™,376
’,377
‡,378
“,379
š,380
…,381
—,382
“,383
…,384
‘,385
•,386
•,387
™,388
…,389
ƒ,390
–,391
Œ,392
š,393
Š,394
š,395
˜,396
›,397
Œ,398
ƒ,399
’,400
œ,401
œ,402
–,403
Š,404
™,405
‡,406
ƒ,407
•,408
Ž,409
’,410
˜,411
€,412
‘,413
–,414
‚,415
œ,416
Ÿ,417
”,418
š,419
Ÿ,420
ˆ,421
„,422
—,423
‘,424
—,425
—,426
€,427
‰,428
‘,429
’,430
•,431
š,432
„,433
†,434
˜,435
‘,436
ƒ,437
Š,438
ž,439
„,440
ƒ,441
‹,442
”,443
‡,444
ž,445
’,446
˜,447
˜,448
—,449
’,450
›,451
Ž,452
‘,453
‘,454
‚,455
›,456
˜,457
ˆ,458
Š,459
…,460
•,461
ˆ,462
Ž,463
Ÿ,464
‘,465
œ,466
•,467
•,468
‰,469
’,470
“,471
š,472
—,473
œ,474
˜,475
™,476
›,477
’,478
”,479
…,480
ˆ,481
›,482
Œ,483
„,484
Š,485
Œ,486
Ÿ,487
ž,488
ž,489
–,490
„,491
‚,492
ˆ,493
™,494
“,495
ž,496
‹,497
—,498
”,499
