order_item_id,order_id,product_id,quantity,unit_price
OI00001,ORD00001,PROD0030,5,98.43
OI00002,ORD00001,PROD0015,4,100.39
OI00003,ORD00002,PROD0020,3,43.84
OI00004,ORD00002,PROD0011,3,67.47
OI00005,ORD00003,PROD0015,1,12.32
OI00006,ORD00003,PROD0001,2,22.81
OI00007,ORD00003,PROD0028,1,80.48
OI00008,ORD00004,PROD0015,1,69.35
OI00009,ORD00004,PROD0026,2,82.82
OI00010,ORD00005,PROD0015,3,8.28
OI00011,ORD00005,PROD0022,2,31.15
OI00012,ORD00006,PROD0025,3,92.82
OI00013,ORD00007,PROD0023,3,38.3
OI00014,ORD00008,PROD0022,4,59.91
OI00015,ORD00008,PROD0027,3,97.02
OI00016,ORD00008,PROD0004,4,17.75
OI00017,ORD00009,PROD0006,4,77.13
OI00018,ORD00009,PROD0022,2,12.23
OI00019,ORD00010,PROD0001,2,91.11
OI00020,ORD00010,PROD0002,5,82.75
OI00021,ORD00010,PROD0023,5,42.22
OI00022,ORD00011,PROD0020,2,29.89
OI00023,ORD00012,PROD0012,2,97.44
OI00024,ORD00013,PROD0011,4,66.38
OI00025,ORD00013,PROD0023,3,45.73
OI00026,ORD00013,PROD0008,1,31.71
OI00027,ORD00014,PROD0024,1,23.59
OI00028,ORD00015,PROD0024,5,70.75
OI00029,ORD00015,PROD0010,4,73.6
OI00030,ORD00015,PROD0024,4,17.34
OI00031,ORD00016,PROD0001,5,23.17
OI00032,ORD00016,PROD0001,5,36.75
OI00033,ORD00016,PROD0004,3,90.09
OI00034,ORD00017,PROD0026,2,1.83
OI00035,ORD00017,PROD0016,5,50.6
OI00036,ORD00018,PROD0014,2,70.34
OI00037,ORD00018,PROD0010,1,15.17
OI00038,ORD00019,PROD0017,4,80.24
OI00039,ORD00019,PROD0023,1,73.03
OI00040,ORD00019,PROD0021,5,58.64
OI00041,ORD00020,PROD0015,5,53.62
OI00042,ORD00021,PROD0014,1,11.29
OI00043,ORD00021,PROD0010,1,40.11
OI00044,ORD00021,PROD0023,5,24.64
OI00045,ORD00022,PROD0028,2,87.69
OI00046,ORD00023,PROD0011,1,82.86
OI00047,ORD00023,PROD0007,4,82.96
OI00048,ORD00023,PROD0005,4,71.66
OI00049,ORD00024,PROD0020,1,69.29
OI00050,ORD00024,PROD0004,3,57.59
OI00051,ORD00024,PROD0013,2,20.48
OI00052,ORD00025,PROD0022,4,16.23
OI00053,ORD00025,PROD0003,2,86.85
OI00054,ORD00026,PROD0015,3,30.7
OI00055,ORD00026,PROD0001,4,49.61
OI00056,ORD00026,PROD0017,4,46.35
OI00057,ORD00027,PROD0030,2,62.37
OI00058,ORD00028,PROD0016,1,6.1
OI00059,ORD00028,PROD0002,3,30.1
OI00060,ORD00028,PROD0022,1,36.8
OI00061,ORD00029,PROD0028,2,18.55
OI00062,ORD00029,PROD0006,3,24.73
OI00063,ORD00029,PROD0019,2,3.97
OI00064,ORD00030,PROD0010,5,34.24
OI00065,ORD00031,PROD0001,5,50.21
