product_id,product_name,category,price,stock_quantity,supplier_id
PROD0001,Product 1,Sports,436.31,115,SUPP0001
PROD0002,Product 2,Clothing,39.78,193,SUPP0001
PROD0003,Product 3,Clothing,487.58,151,SUPP0009
PROD0004,Product 4,Books,242.03,67,SUPP0003
PROD0005,Product 5,Books,91.78,135,SUPP0009
PROD0006,Product 6,Books,103.97,80,SUPP0004
PROD0007,Product 7,Clothing,102.67,18,SUPP0003
PROD0008,Product 8,Books,486.74,16,SUPP0009
PROD0009,Product 9,Books,204.01,79,SUPP0005
PROD0010,Product 10,Books,21.8,153,SUPP0001
PROD0011,Product 11,Electronics,205.39,53,SUPP0008
PROD0012,Product 12,Electronics,257.59,192,SUPP0001
PROD0013,Product 13,Home,309.24,24,SUPP0005
PROD0014,Product 14,Electronics,342.18,153,SUPP0004
PROD0015,Product 15,Clothing,414.05,118,SUPP0002
PROD0016,Product 16,Electronics,344.31,30,SUPP0004
PROD0017,Product 17,Sports,28.44,45,SUPP0003
PROD0018,Product 18,Books,468.5,48,SUPP0006
PROD0019,Product 19,Sports,314.44,32,SUPP0001
PROD0020,Product 20,Sports,458.33,146,SUPP0002
PROD0021,Product 21,Clothing,453.04,98,SUPP0010
PROD0022,Product 22,Home,321.53,117,SUPP0010
PROD0023,Product 23,Home,187.11,158,SUPP0009
PROD0024,Product 24,Clothing,281.56,184,SUPP0008
PROD0025,Product 25,Books,125.05,152,SUPP0003
PROD0026,Product 26,Electronics,344.31,182,SUPP0010
PROD0027,Product 27,Sports,39.31,179,SUPP0001
PROD0028,Product 28,Sports,165.37,148,SUPP0006
PROD0029,Product 29,Sports,248.2,30,SUPP0001
PROD0030,Product 30,Home,265.43,140,SUPP0008
